ano;orgao;unidade;funcao;programa;acao;categoria;fonte;valor
2024;01-CMR;0101-CMR - CÂMARA MUNICIPAL DO RECIFE;1-LEGISLATIVA;4101-AÇÃO LEGISLATIVA;1034 - IMPLANTAÇÃO DA NOVA SEDE DA CÂMARA MUNICIPAL DO RECIFE (LEI 17.853/2012);4-DESPESAS DE CAPITAL;500-RECURSOS NÃO VINCULADOS DE IMPOSTOS;10000,0
2024;01-CMR;0101-CMR - CÂMARA MUNICIPAL DO RECIFE;1-LEGISLATIVA;4101-AÇÃO LEGISLATIVA;2001 - DESENVOLVIMENTO DE ATIVIDADES LEGISLATIVAS;3-DESPESAS CORRENTES;500-RECURSOS NÃO VINCULADOS DE IMPOSTOS;72497000,0
2024;01-CMR;0101-CMR - CÂMARA MUNICIPAL DO RECIFE;1-LEGISLATIVA;4101-AÇÃO LEGISLATIVA;2001 - DESENVOLVIMENTO DE ATIVIDADES LEGISLATIVAS;4-DESPESAS DE CAPITAL;500-RECURSOS NÃO VINCULADOS DE IMPOSTOS;240000,0
2024;01-CMR;0101-CMR - CÂMARA MUNICIPAL DO RECIFE;1-LEGISLATIVA;4102-GESTÃO ADMINISTRATIVA DA CÂMARA MUNICIPAL DO RECIFE;2002 - APOIO ADMINISTRATIVO ÀS AÇÕES DA CÂMARA MUNICIPAL DO RECIFE;3-DESPESAS CORRENTES;500-RECURSOS NÃO VINCULADOS DE IMPOSTOS;131328000,0
2024;01-CMR;0101-CMR - CÂMARA MUNICIPAL DO RECIFE;1-LEGISLATIVA;4102-GESTÃO ADMINISTRATIVA DA CÂMARA MUNICIPAL DO RECIFE;2002 - APOIO ADMINISTRATIVO ÀS AÇÕES DA CÂMARA MUNICIPAL DO RECIFE;4-DESPESAS DE CAPITAL;500-RECURSOS NÃO VINCULADOS DE IMPOSTOS;410000,0
2024;01-CMR;0101-CMR - CÂMARA MUNICIPAL DO RECIFE;1-LEGISLATIVA;4103-GESTÃO DOS ENCARGOS DA CÂMARA MUNICIPAL DO RECIFE;2154 - ENCARGOS COM BENEFÍCIOS AOS SERVIDORES DA CÂMARA MUNICIPAL DO RECIFE;3-DESPESAS CORRENTES;500-RECURSOS NÃO VINCULADOS DE IMPOSTOS;600000,0
2024;01-CMR;0101-CMR - CÂMARA MUNICIPAL DO RECIFE;1-LEGISLATIVA;4103-GESTÃO DOS ENCARGOS DA CÂMARA MUNICIPAL DO RECIFE;9016 - ENCARGOS COM PENSIONISTAS DA CÂMARA MUNICIPAL DO RECIFE;3-DESPESAS CORRENTES;500-RECURSOS NÃO VINCULADOS DE IMPOSTOS;55000,0
2024;01-CMR;0101-CMR - CÂMARA MUNICIPAL DO RECIFE;1-LEGISLATIVA;4103-GESTÃO DOS ENCARGOS DA CÂMARA MUNICIPAL DO RECIFE;9019 - ENCARGOS COM A PREVIDÊNCIA SOCIAL DOS SERVIDORES DA CÂMARA MUNICIPAL DO RECIFE - REGIME PRÓPRIO;3-DESPESAS CORRENTES;500-RECURSOS NÃO VINCULADOS DE IMPOSTOS;2000000,0
2024;01-CMR;0101-CMR - CÂMARA MUNICIPAL DO RECIFE;1-LEGISLATIVA;4103-GESTÃO DOS ENCARGOS DA CÂMARA MUNICIPAL DO RECIFE;9020 - ENCARGOS COM A PREVIDÊNCIA SOCIAL DOS SERVIDORES DA CÂMARA MUNICIPAL DO RECIFE - REGIME GERAL;3-DESPESAS CORRENTES;500-RECURSOS NÃO VINCULADOS DE IMPOSTOS;30000000,0
2024;01-CMR;0101-CMR - CÂMARA MUNICIPAL DO RECIFE;1-LEGISLATIVA;4103-GESTÃO DOS ENCARGOS DA CÂMARA MUNICIPAL DO RECIFE;9023 - CONTRIBUIÇÃO PREVIDENCIÁRIA EM REGIME DE PARCELAMENTO DE DÉBITOS DA CÂMARA MUNICIPAL DO RECIFE;4-DESPESAS DE CAPITAL;500-RECURSOS NÃO VINCULADOS DE IMPOSTOS;500000,0
2024;01-CMR;0101-CMR - CÂMARA MUNICIPAL DO RECIFE;1-LEGISLATIVA;4103-GESTÃO DOS ENCARGOS DA CÂMARA MUNICIPAL DO RECIFE;9024 - ENCARGOS COM A PREVIDÊNCIA COMPLEMENTAR DOS PARLAMENTARES E SERVIDORES DA CÂMARA MUNICIPAL DO RECIFE;3-DESPESAS CORRENTES;500-RECURSOS NÃO VINCULADOS DE IMPOSTOS;100000,0
2024;03-PROMORAR RECIFE;0301-PROMORAR RECIFE - GAB. DE GER. DO PROG. REQUALIF. E RESILIÊNCIA URB. EM ÁREAS DE VULNER. SOCIOAMB.-PROMORAR RECIFE - ADM. DIRETA;15-URBANISMO;2160-GESTÃO DAS POLÍTICAS MUNICIPAIS;2328 - COORDENAÇÃO, SUPERVISÃO E EXECUÇÃO DO PROGRAMA PROMORAR;3-DESPESAS CORRENTES;500-RECURSOS NÃO VINCULADOS DE IMPOSTOS;1230000,0
2024;03-PROMORAR RECIFE;0301-PROMORAR RECIFE - GAB. DE GER. DO PROG. REQUALIF. E RESILIÊNCIA URB. EM ÁREAS DE VULNER. SOCIOAMB.-PROMORAR RECIFE - ADM. DIRETA;15-URBANISMO;2161-GESTÃO ADMINISTRATIVA DOS ÓRGÃOS, ENTIDADES E FUNDOS MUNICIPAIS;2723 - APOIO ADMINISTRATIVO ÀS AÇÕES DA UNIDADE ORÇAMENTÁRIA;3-DESPESAS CORRENTES;500-RECURSOS NÃO VINCULADOS DE IMPOSTOS;800000,0
