Ano;Esfera;Esfera_descrição;Órgão;Órgão_descrição;UO;UO_descrição;Função;Função_descrição;Subfunção;Subfunção_descrição;Programa;Programa_descrição;Ação;Ação_título;Produto_ação_descrição;Unidade_medida_ação_símbolo;Unidade_medida_ação_descrição;Localizador;Localizador_subtítulo;Região;Região_descrição;UF;UF_descrição;Município;Município_descrição;Recorte_geográfico;Liquidado_regionalização;Realizado_regionalização;Houve regionalização?;Justificativa do Órgão Gestor
2023;10;10 - Orçamento Fiscal;01000;01000 - Camara dos Deputados;01101;01101 - Câmara dos Deputados;01;01 - Legislativa;131;131 - Comunicação Social;0034;0034 - Programa de Gestão e Manutenção do Poder Legislativo;219I;219I - Publicidade Institucional e de Utilidade Pública;Conteúdo divulgado;unidade;unidade;0001;0001 - Nacional;ND;Não definido;ND;Não definido;ND;Não definido;Não Definido;0;0;Não;Não Aplicável
2023;10;10 - Orçamento Fiscal;02000;02000 - Senado Federal;02101;02101 - Senado Federal;01;01 - Legislativa;131;131 - Comunicação Social;0034;0034 - Programa de Gestão e Manutenção do Poder Legislativo;219I;219I - Publicidade Institucional e de Utilidade Pública;Conteúdo divulgado;unidade;unidade;0001;0001 - Nacional;ND;Não definido;ND;Não definido;ND;Não definido;Não Definido;0;0;Não;Não Aplicável
2023;10;10 - Orçamento Fiscal;03000;03000 - Tribunal de Contas da União;03101;03101 - Tribunal de Contas da União;01;01 - Legislativa;032;032 - Controle Externo;0034;0034 - Programa de Gestão e Manutenção do Poder Legislativo;4018;4018 - Fiscalização da Aplicação dos Recursos Públicos Federais;Processo de controle externo apreciado conclusivamente;unidade;unidade;0001;0001 - Nacional;NA;Nacional;ND;Não definido;ND;Não definido;Não Definido;205.161.276,21;5.122;Não;
2023;10;10 - Orçamento Fiscal;03000;03000 - Tribunal de Contas da União;03101;03101 - Tribunal de Contas da União;01;01 - Legislativa;122;122 - Administração Geral;0034;0034 - Programa de Gestão e Manutenção do Poder Legislativo;216H;216H - Ajuda de Custo para Moradia ou Auxílio-Moradia a Agentes Públicos;Agente público beneficiado;unidade;unidade;0001;0001 - Nacional;NA;Nacional;ND;Não definido;ND;Não definido;Não Definido;132.926,19;6;Não;
2023;10;10 - Orçamento Fiscal;03000;03000 - Tribunal de Contas da União;03101;03101 - Tribunal de Contas da União;01;01 - Legislativa;131;131 - Comunicação Social;0034;0034 - Programa de Gestão e Manutenção do Poder Legislativo;219I;219I - Publicidade Institucional e de Utilidade Pública;Conteúdo divulgado;unidade;unidade;0001;0001 - Nacional;NA;Nacional;ND;Não definido;ND;Não definido;Não Definido;3.252.819,14;3.168;Não;Para o realizado físico do RAP, foi utilizada a metodologia de cálculo proporcional à execução financeira. A execução física ficou dentro do patamar esperado.
2023;10;10 - Orçamento Fiscal;03000;03000 - Tribunal de Contas da União;03101;03101 - Tribunal de Contas da União;01;01 - Legislativa;331;331 - Proteção e Benefícios ao Trabalhador;0034;0034 - Programa de Gestão e Manutenção do Poder Legislativo;212B;212B - Benefícios Obrigatórios aos Servidores Civis, Empregados, Militares e seus Dependentes;--------------------;--------------------;--------------------;0001;0001 - Nacional;NA;Nacional;ND;Não definido;ND;Não definido;Não Definido;41.371.330,36;0;Não;
2023;10;10 - Orçamento Fiscal;11000;11000 - Superior Tribunal de Justiça;11101;11101 - Superior Tribunal de Justiça;02;02 - Judiciária;061;061 - Ação Judiciária;0033;0033 - Programa de Gestão e Manutenção do Poder Judiciário;4236;4236 - Apreciação e Julgamento de Causas;Processo julgado;unidade;unidade;0001;0001 - Nacional;NA;Nacional;ND;Não definido;ND;Não definido;Não Definido;304.731.377,04;706.143;Não;
2023;10;10 - Orçamento Fiscal;11000;11000 - Superior Tribunal de Justiça;11101;11101 - Superior Tribunal de Justiça;02;02 - Judiciária;128;128 - Formação de Recursos Humanos;0033;0033 - Programa de Gestão e Manutenção do Poder Judiciário;20G2;20G2 - Formação e Aperfeiçoamento de Magistrados;Magistrado capacitado;unidade;unidade;0001;0001 - Nacional;NA;Nacional;ND;Não definido;ND;Não definido;Não Definido;10.774.088,58;1.678;Não;
2023;10;10 - Orçamento Fiscal;12000;12000 - Justiça Federal;12101;12101 - Justiça Federal de Primeiro Grau;02;02 - Judiciária;061;061 - Ação Judiciária;0033;0033 - Programa de Gestão e Manutenção do Poder Judiciário;4224;4224 - Assistência Jurídica a Pessoas Carentes;Pessoa assistida;unidade;unidade;0001;0001 - Nacional;NA;Nacional;ND;Não definido;ND;Não definido;1ª Região da Justiça Federal - AC, AM, AP, BA, DF, GO, MA, MT, PA, PI, RO, RR, TO;9.902.722,40;30.314;Sim;"SJRO - As metas são projetadas com base no histórico de pagamentos de perícias do sistema AJG, as quais dependem do número de ações judiciais processadas no período anterior.
SJGO - Foram feitas parcerias com entidades externas objetivando levar às comunidades mais carentes a Justiça até eles. O objetivo proposto foi alcançado a contento.
SJMA - Verificou-se o atendimento para vários beneficiários de localidades diversas atendendo ao objetivo da finalidade do gasto onde foram alocados os recursos. Entretanto, existiram solicitações dentro do Sistema AJG que não se encaixavam em nenhum filtro do Sistema. Ademais, a validação (liquidação da despesa) com data retroativa é um problema, uma vez que a cada final de exercício é reconhecida a dívida oriunda de AJPC, todavia, no ano posterior aparecem mais solicitações validadas em 2024 (comando) com data retroativa de 2023, o que prejudica a apuração correta da dívida sem cobertura orçamentária."
2023;10;10 - Orçamento Fiscal;12000;12000 - Justiça Federal;12101;12101 - Justiça Federal de Primeiro Grau;02;02 - Judiciária;061;061 - Ação Judiciária;0033;0033 - Programa de Gestão e Manutenção do Poder Judiciário;4224;4224 - Assistência Jurídica a Pessoas Carentes;Pessoa assistida;unidade;unidade;0001;0001 - Nacional;NA;Nacional;ND;Não definido;ND;Não definido;3ª Região da Justiça Federal - MS, SP;6.255.007,86;15.786;Sim;
2023;10;10 - Orçamento Fiscal;12000;12000 - Justiça Federal;12101;12101 - Justiça Federal de Primeiro Grau;02;02 - Judiciária;061;061 - Ação Judiciária;0033;0033 - Programa de Gestão e Manutenção do Poder Judiciário;4224;4224 - Assistência Jurídica a Pessoas Carentes;Pessoa assistida;unidade;unidade;0001;0001 - Nacional;NE;Região Nordeste;ND;Não definido;ND;Não definido;5ª Região da Justiça Federal - AL, CE, PB, PE, RN, SE;2.821.170,13;207.454;Sim;
2023;10;10 - Orçamento Fiscal;12000;12000 - Justiça Federal;12101;12101 - Justiça Federal de Primeiro Grau;02;02 - Judiciária;061;061 - Ação Judiciária;0033;0033 - Programa de Gestão e Manutenção do Poder Judiciário;4224;4224 - Assistência Jurídica a Pessoas Carentes;Pessoa assistida;unidade;unidade;0001;0001 - Nacional;SD;Região Sudeste;MG;Minas Gerais;ND;Não definido;6ª Região da Justiça Federal - MG;3.579.964,27;5.743;Sim;
2023;10;10 - Orçamento Fiscal;12000;12000 - Justiça Federal;12101;12101 - Justiça Federal de Primeiro Grau;02;02 - Judiciária;061;061 - Ação Judiciária;0033;0033 - Programa de Gestão e Manutenção do Poder Judiciário;4224;4224 - Assistência Jurídica a Pessoas Carentes;Pessoa assistida;unidade;unidade;0001;0001 - Nacional;SD;Região Sudeste;ND;Não definido;ND;Não definido;2ª Região da Justiça Federal - ES, RJ;3.743.669,53;10.326;Sim;"Registra-se que a meta inicial estabelecida é zero, tendo em vista que o CJF é responsável por fazer essa projeção para toda JF de 1º Grau. Ademais, cabe ressaltar que, o fluxo de descentralização orçamentária estabelecido pelo CJF é realizado mensalmente, de forma que todos os Regionais acompanhem o mesmo cronograma de pagamento.O alcance da meta reflete a demanda aliada à disponibilidade orçamentária suficiente para o atendimento integral a todos os jurisdicionados que solicitaram e tiveram suas requisições validadas no sistema AJG até o dia 18/12/2022.
A meta inscrita para 2024 correspondente ao orçamento de 2023 representa 06 beneficiados."
