Ano;UO;DS_Unidade Orcamentaria;DS_Programa;DS_Acao;DS_Grupo Despesa;Natureza Despesa;DS_Natureza Despesa;Orcamento;Credito Disponivel;Credito Indisponivel;Despesas Empenhadas;Despesas Liquidadas;Despesas Pagas
2024;24101;MINIST. DA CIENCIA, TECNOLOGIA E INOVOVACAO;PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO;APOSENTADORIAS E PENSOES CIVIS DA UNIAO;PESSOAL E ENCARGOS SOCIAIS;319001;APOSENTADORIAS, RESERVA REMUNERADA E REFORMAS;647.400.000,00;;;647.400.000,00;520.649.410,47;478.694.813,89
2024;24101;MINIST. DA CIENCIA, TECNOLOGIA E INOVOVACAO;PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO;APOSENTADORIAS E PENSOES CIVIS DA UNIAO;PESSOAL E ENCARGOS SOCIAIS;319003;PENSOES;637.622.291,00;;;637.622.291,00;549.009.269,75;499.368.643,53
2024;24101;MINIST. DA CIENCIA, TECNOLOGIA E INOVOVACAO;PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO;APOSENTADORIAS E PENSOES CIVIS DA UNIAO;PESSOAL E ENCARGOS SOCIAIS;319091;SENTENCAS JUDICIAIS;747.156,00;;;747.156,00;560.802,04;506.457,03
2024;24101;MINIST. DA CIENCIA, TECNOLOGIA E INOVOVACAO;PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO;APOSENTADORIAS E PENSOES CIVIS DA UNIAO;PESSOAL E ENCARGOS SOCIAIS;319092;DESPESAS DE EXERCICIOS ANTERIORES;53.920.960,00;;;53.920.960,00;4.891.495,31;4.758.518,23
2024;24101;MINIST. DA CIENCIA, TECNOLOGIA E INOVOVACAO;PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO;CONTRIBUICAO DA UNIAO, DE SUAS AUTARQUIAS E FUNDACOES PARA O CUSTEIO DO REGIME DE PREVIDENCIA DOS SERVIDORES PUBLICOS FEDERAIS;PESSOAL E ENCARGOS SOCIAIS;319113;OBRIGACOES PATRONAIS - OP.INTRA-ORCAMENTARIAS;113.624.630,00;594.348,04;;113.030.281,96;82.380.897,28;82.380.897,28
2024;24101;MINIST. DA CIENCIA, TECNOLOGIA E INOVOVACAO;PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO;EXERCICIO DA PRESIDENCIA DO G20 PELO BRASIL;OUTRAS DESPESAS CORRENTES;339033;PASSAGENS E DESPESAS COM LOCOMOCAO;404.641,40;;;404.641,40;401.255,60;372.034,73
2024;24101;MINIST. DA CIENCIA, TECNOLOGIA E INOVOVACAO;PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO;EXERCICIO DA PRESIDENCIA DO G20 PELO BRASIL;OUTRAS DESPESAS CORRENTES;339039;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;4.856.526,60;;;4.856.526,60;4.856.428,70;4.856.428,70
2024;24101;MINIST. DA CIENCIA, TECNOLOGIA E INOVOVACAO;PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO;ADMINISTRACAO DA UNIDADE;INVESTIMENTOS;445052;EQUIPAMENTOS E MATERIAL PERMANENTE;350.000,00;;;350.000,00;;
2024;24101;MINIST. DA CIENCIA, TECNOLOGIA E INOVOVACAO;PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO;ADMINISTRACAO DA UNIDADE;INVESTIMENTOS;449000;APLICACOES DIRETAS;5.199.744,55;5.199.744,55;;;;
2024;24101;MINIST. DA CIENCIA, TECNOLOGIA E INOVOVACAO;PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO;ADMINISTRACAO DA UNIDADE;INVESTIMENTOS;449039;OUTROS SERVICOS DE TERCEIROS- PESSOA JURIDICA;270.971,36;;;270.971,36;;
